Cliente;Data;Produto
09557239000131;2018-01-01;9
47960950000121;2017-12-05;5
45997418000153;2018-01-19;9
54772017000196;2017-08-15;7
09557239000131;2017-09-12;9
47960950000121;2017-08-30;8
45997418000153;2018-09-14;9
54772017000196;2018-06-08;4
09557239000131;2018-04-12;1
47960950000121;2018-10-20;3
45997418000153;2017-01-13;2
54772017000196;2017-06-22;10
09557239000131;2018-01-26;2
47960950000121;2017-04-25;6
45997418000153;2018-05-12;5
54772017000196;2017-01-29;1
09557239000131;2018-07-06;8
47960950000121;2018-05-24;9
45997418000153;2017-01-09;1
54772017000196;2018-03-13;4
09557239000131;2017-01-05;5
47960950000121;2017-09-22;10
45997418000153;2017-04-29;2
54772017000196;2018-05-04;2
09557239000131;2017-02-05;1
47960950000121;2017-03-08;2
45997418000153;2017-02-06;8
54772017000196;2017-01-17;3
09557239000131;2018-02-15;8
47960950000121;2017-03-09;6
45997418000153;2017-09-30;1
54772017000196;2017-04-23;5
09557239000131;2018-08-10;8
47960950000121;2018-03-17;9
45997418000153;2018-08-01;9
54772017000196;2018-04-01;2
09557239000131;2018-05-15;2
47960950000121;2017-08-29;6
45997418000153;2018-08-17;4
54772017000196;2017-05-20;7
09557239000131;2017-07-19;5
47960950000121;2018-06-06;2
45997418000153;2017-03-16;6
54772017000196;2018-07-05;8
09557239000131;2018-04-11;6
47960950000121;2017-10-18;6
45997418000153;2018-02-01;4
54772017000196;2017-06-11;4
09557239000131;2017-09-02;7
47960950000121;2017-04-20;8
45997418000153;2017-11-03;10
54772017000196;2017-05-21;2
09557239000131;2017-02-25;10
47960950000121;2018-02-28;8
45997418000153;2017-03-10;7
54772017000196;2017-10-01;1
09557239000131;2017-01-13;7
47960950000121;2017-06-11;1
45997418000153;2018-01-23;6
54772017000196;2017-12-06;10
45997418000153;2017-03-16;6
54772017000196;2018-07-05;8
09557239000131;2018-04-11;6
47960950000121;2017-10-18;6
45997418000153;2018-02-01;4
54772017000196;2017-06-11;4
09557239000131;2017-09-02;7
47960950000121;2017-04-20;8
45997418000153;2017-11-03;10
54772017000196;2017-05-21;2
09557239000131;2017-02-25;9
47960950000121;2018-02-28;5
45997418000153;2017-03-10;4
54772017000196;2017-10-01;2
09557239000131;2017-01-13;1
47960950000121;2017-06-11;3
45997418000153;2018-01-23;5
54772017000196;2017-12-06;6
